,Name,PID
0,Jose Abreu,abreujo02
1,Matt Adams,adamsma01
2,Matt Albers,alberma01
3,Yonder Alonso,alonsyo01
4,Jose Altuve,altuvjo01
5,Henderson Alvarez III,alvarhe01
6,Brett Anderson,anderbr04
7,Chase Anderson,anderch01
8,Elvis Andrus,andruel01
9,Chris Archer,archech01
10,Nolan Arenado,arenano01
11,Jake Arrieta,arrieja01
12,Alex Avila,avilaal01
13,Luis Avilan,avilalu01
14,John Axford,axforjo01
15,Erick Aybar,aybarer01
16,Jose Abreu,abreujo02
17,Matt Adams,adamsma01
18,Matt Albers,alberma01
19,Yonder Alonso,alonsyo01
20,Jose Altuve,altuvjo01
21,Henderson Alvarez III,alvarhe01
22,Brett Anderson,anderbr04
23,Chase Anderson,anderch01
24,Elvis Andrus,andruel01
25,Chris Archer,archech01
26,Nolan Arenado,arenano01
27,Jake Arrieta,arrieja01
28,Alex Avila,avilaal01
29,Luis Avilan,avilalu01
30,John Axford,axforjo01
31,Erick Aybar,aybarer01
32,Jose Abreu,abreujo02
33,Matt Adams,adamsma01
34,Matt Albers,alberma01
35,Yonder Alonso,alonsyo01
36,Jose Altuve,altuvjo01
37,Henderson Alvarez III,alvarhe01
38,Brett Anderson,anderbr04
39,Chase Anderson,anderch01
40,Elvis Andrus,andruel01
41,Chris Archer,archech01
42,Nolan Arenado,arenano01
43,Jake Arrieta,arrieja01
44,Alex Avila,avilaal01
45,Luis Avilan,avilalu01
46,John Axford,axforjo01
47,Erick Aybar,aybarer01
48,Javier Baez,baezja01
49,Pedro Baez,baezpe01
50,Homer Bailey,baileho02
51,Trevor Bauer,bauertr01
52,Gordon Beckham,beckhgo01
53,Ronald Belisario,belisro01
54,Brandon Belt,beltbr01
55,Dellin Betances,betande01
56,Chad Bettis,bettich01
57,Mookie Betts,bettsmo01
58,Charlie Blackmon,blackch02
59,Andres Blanco,blancan01
60,Gregor Blanco,blancgr01
61,Jerry Blevins,blevije01
62,Xander Bogaerts,bogaexa01
63,Emilio Bonifacio,bonifem01
64,Justin Bour,bourju01
65,Peter Bourjos,bourjpe01
66,Brad Boxberger,boxbebr01
67,Brad Brach,brachbr01
68,Jackie Bradley Jr.,bradlja02
69,Michael Brantley,brantmi02
70,Ryan Braun,braunry02
71,Zack Britton,brittza01
72,Rex Brothers,brothre01
73,Domonic Brown,browndo01
74,Jay Bruce,bruceja01
75,Kris Bryant,bryankr01
76,Clay Buchholz,buchhcl01
77,Madison Bumgarner,bumgama01
78,Sean Burnett,burnese01
79,Javier Baez,baezja01
80,Pedro Baez,baezpe01
81,Homer Bailey,baileho02
82,Trevor Bauer,bauertr01
83,Gordon Beckham,beckhgo01
84,Ronald Belisario,belisro01
85,Brandon Belt,beltbr01
86,Dellin Betances,betande01
87,Chad Bettis,bettich01
88,Mookie Betts,bettsmo01
89,Charlie Blackmon,blackch02
90,Andres Blanco,blancan01
91,Gregor Blanco,blancgr01
92,Jerry Blevins,blevije01
93,Xander Bogaerts,bogaexa01
94,Emilio Bonifacio,bonifem01
95,Justin Bour,bourju01
